t,theta,final,,,t1,final1
0,331,-535,,,0,-535
1,313,-553,,,1,-553
1,303,-563,,,1,-563
2,297,-569,,,2,-569
3,294,-572,,,3,-572
4,292,-574,,,4,-574
5,290,-576,,,5,-576
5,294,-572,,,5,-572
15,293,-573,,,15,-573
27,308,-558,,,27,-558
38,316,-550,,,38,-550
50,328,-538,,,50,-538
61,343,-523,,,61,-523
72,350,-516,,,72,-516
83,373,-493,,,83,-493
96,380,-486,,,96,-486
107,401,-465,,,107,-465
119,417,-449,,,119,-449
132,428,-438,,,132,-438
144,454,-412,,,144,-412
157,465,-401,,,157,-401
169,481,-385,,,169,-385
182,502,-364,,,182,-364
194,511,-355,,,194,-355
206,531,-335,,,206,-335
219,546,-320,,,219,-320
232,559,-307,,,232,-307
244,582,-284,,,244,-284
257,592,-274,,,257,-274
269,609,-257,,,269,-257
281,627,-239,,,281,-239
294,638,-228,,,294,-228
307,661,-205,,,307,-205
319,674,-192,,,319,-192
331,685,-181,,,331,-181
344,709,-157,,,344,-157
357,719,-147,,,357,-147
369,738,-128,,,369,-128
381,753,-113,,,381,-113
394,762,-104,,,394,-104
406,782,-84,,,406,-84
418,783,-83,,,418,-83
432,793,-73,,,432,-73
444,811,-55,,,444,-55
456,814,-52,,,456,-52
468,826,-40,,,468,-40
481,839,-27,,,481,-27
494,841,-25,,,494,-25
506,853,-13,,,506,-13
519,846,-20,,,519,-20
531,851,-15,,,531,-15
543,862,-4,,,543,-4
557,860,-6,,,557,-6
569,866,0,,,569,0
,,,,,571,0
,,,,,573,0
,,,,,575,0
,,,,,577,0
,,,,,579,0
,,,,,581,0
,,,,,583,0
